Unique ID,Typ,Title,CE Start Date,CE End Date,AH Start Date,AH End Date,Date photograph taken,Date Qualif.,Medium,Technique,Measurements,Artist,Orig. Location,Collection,Inventory #,Folder,Photographer,Copyright for Photo,Image Quality,Image Rights,Published in,Notes
XX_UNKNOWN_AS09628,Site,Minicity Model Park Exhibition Building,,,,,,,,,,,Türkiye,,AS09628,,,,,,,
XX_UNKNOWN_AS08846,Site,Agricultural Research Centre,,,,,,,,,,,Türkiye,,AS08846,,,,,,,
XX_UNKNOWN_AS07751,Site,Migros Shopping Center,,,,,,,,,,,Türkiye,,AS07751,,,,,,,
XX_UNKNOWN_AS07305,Site,Olbia Social Center,,,,,,,,,,,Türkiye,,AS07305,,,,,,,
XX_UNKNOWN_AS07244,Site,Figen and Servet Yazici Residence,,,,,,,,,,,Türkiye,,AS07244,,,,,,,
XX_UNKNOWN_AS02917,Site,Yivli Minare Camii,,,,,,,,,,,Türkiye,,AS02917,,,,,,,
XX_UNKNOWN_AS01790,Site,Belpark Holiday Village,,,,,,,,,,,Türkiye,,AS01790,,,,,,,
XX_UNKNOWN_AS01731,Site,Mediterranean Civilisations Research Institute,,,,,,,,,,,Türkiye,,AS01731,,,,,,,
XX_UNKNOWN_AS01565,Site,Kaleiçi Gönül Residence,,,,,,,,,,,Türkiye,,AS01565,,,,,,,
XX_UNKNOWN_AS01401,Site,Ottoman Bank Holiday Village,,,,,,,,,,,Türkiye,,AS01401,,,,,,,
XX_UNKNOWN_AS01210,Site,Citadel Marina Hotel,,,,,,,,,,,Türkiye,,AS01210,,,,,,,
XX_UNKNOWN_AS01054,Site,Ulusoy Holiday Village,,,,,,,,,,,Türkiye,,AS01054,,,,,,,
XX_UNKNOWN_AS01022,Site,Eldorador Phaselis Holiday Village,,,,,,,,,,,Türkiye,,AS01022,,,,,,,
XX_UNKNOWN_AS00983,Site,Novotelturquise,,,,,,,,,,,Türkiye,,AS00983,,,,,,,
XX_UNKNOWN_AS00969,Site,Salima-Beldibi Holiday Village,,,,,,,,,,,Türkiye,,AS00969,,,,,,,
XX_UNKNOWN_AS00790,Site,Milta Vacation Village,,,,,,,,,,,Türkiye,,AS00790,,,,,,,
XX_UNKNOWN_AS00521,Site,Çamyuva-Silker Vacation Village,,,,,,,,,,,Türkiye,,AS00521,,,,,,,
XX_FALHU_IMG12041,Image,IMG12041,,,,,,,,,,,Türkiye,"Fine Arts Library, Harvard University",IMG12041,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/dec33501-ad9e-4e0a-91e4-1fdb820d32ee/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/dec33501-ad9e-4e0a-91e4-1fdb820d32ee/iiif,,"Exterior view from northeast, showing minaret and mosque with Antalya bay seen in the background"
XX_FALHCL_IMG12040,Image,IMG12040,,,,,,,,,,,Türkiye,"Fine Arts Library, Harvard College Library",IMG12040,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/f596f44b-ca28-4007-973e-61131fe947a5/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/f596f44b-ca28-4007-973e-61131fe947a5/iiif,,"Exterior view from northeast, showing minaret and mosque with Antalya bay seen in the background"
XX_FALHU_IMG12039,Image,IMG12039,,,,,,,,,,,Türkiye,"Fine Arts Library, Harvard University",IMG12039,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/c92307be-7e68-4ce8-9347-8d3b6cb85ca9/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/c92307be-7e68-4ce8-9347-8d3b6cb85ca9/iiif,,"Exterior view from northeast, showing minaret and mosque domes with Antalya bay seen in the background"
XX_FALHU_IMG12038,Image,IMG12038,,,,,,,,,,,Türkiye,"Fine Arts Library, Harvard University",IMG12038,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/3a028061-03bf-4604-ae7e-bc965d916915/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/3a028061-03bf-4604-ae7e-bc965d916915/iiif,,"Exterior view from northeast, showing minaret and mosque domes with Antalya bay seen in the background"
XX_FALHU_IMG12037,Image,IMG12037,,,,,,,,,,,Türkiye,"Fine Arts Library, Harvard University",IMG12037,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/f24414ea-7f04-402e-8055-6211988ca0f5/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/f24414ea-7f04-402e-8055-6211988ca0f5/iiif,,"Exterior view from northeast, showing minaret and mosque domes with Antalya bay seen in the background"
XX_BAHBAAKDCM_IAA700792,Image,Ibradı Garden District,,,,,,,,,,,None,"Bing and Harrington Balkan Archive, Aga Khan Documentation Center at MIT",IAA700792,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/fff72449-accb-4949-b4df-f90703408fab/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/fff72449-accb-4949-b4df-f90703408fab/iiif,,"Ibradı, TurkeyIbradı is a small town in the Antalya province of Turkey, inland from the south Anatolian coast on the Mediterranean. The town sits in the rugged Taurus (Toros) mountains above and to the west of Akseki. The region has a long history of earthquake activity. Ibradı has a tight urban center on the southern slope of Kirca Dagi mountain. A garden district lies in the valley south of the center, and contains the best soil for agriculture. This area has been cultivated for an extended period."
XX_BAHBAAKDCM_IAA700785,Image,"Çardak, Dwelling 1, overall view. Akşahap, Turkey",,,,,,,,,,,None,"Bing and Harrington Balkan Archive, Aga Khan Documentation Center at MIT",IAA700785,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/ef1ca97e-c853-45fb-aae0-3ba914d808c0/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/ef1ca97e-c853-45fb-aae0-3ba914d808c0/iiif,,"Akşahap is a small village in the Antalya province of Turkey on the southern edge of the Taurus mountains. The area was settled during the 4th millenium BCE and was part of the Hittite empire. The open wooden structure, çardak or köşke, is also known locally as an ayazlık. This çardak (ayazlık) faces northeast and serves as an outdoor cover for the ground level as well as a working space for those above. The village is reached from a small road that is an off-shoot of the route between Ibradı and Akseki."
XX_AKAFA_IAA3242,Image,IAA3242,,,,,,,,,,,Türkiye,Aga Khan Award for Architecture,IAA3242,,,,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/976a5cac-acab-4ba4-8890-b838c21fb617/content,https://archnet-3-prod-iiif-cloud-c0fe51f0b9ac.herokuapp.com/public/resources/976a5cac-acab-4ba4-8890-b838c21fb617/iiif,,View to the southwest of the entire complex with Antalya in the background
